ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2022,257,University Hospital Southampton NHS Foundation Trust,England,South East,,,Thames Valley and Wessex,-1.434863445,50.9352573,5133,15,2.92,2,Over 15% lower,3.81,4,Within 5%,3.21 to 4.42,5118,15,2.93,5,Over 5% higher,2.79,4,Within 5%,1.86 to 4.18,30,5.84,3,5 to 15% lower,6.6,4,Within 5%,5.62 to 8.39,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,258,University Hospitals Coventry and Warwickshire NHS Trust,England,Midlands,,,Central,-1.443503057,52.42142369,5576,26,4.66,5,Over 5% higher,3.67,4,Within 5%,3.10 to 4.41,5550,12,2.16,5,Over 5% higher,1.89,4,Within 5%,1.25 to 2.96,38,6.81,5,Over 5% higher,5.55,4,Within 5%,4.80 to 7.12,2,Level 3 NICU,3.61,1.82,5.42
2022,259,University Hospitals Bristol and Weston NHS Foundation Trust,England,South West,,,South West,-2.599390811,51.45913079,4616,16,3.47,3,5 to 15% lower,3.82,4,Within 5%,3.30 to 4.36,4600,20,4.35,5,Over 5% higher,4.12,5,Over 5% higher,2.65 to 6.39,36,7.8,5,Over 5% higher,7.89,5,Over 5% higher,6.62 to 10.37,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,260,University Hospitals of Leicester NHS Trust,England,Midlands,,,Central,-1.13480282,52.62781654,9649,39,4.04,5,Over 5% higher,3.86,4,Within 5%,3.32 to 4.51,9610,34,3.54,5,Over 5% higher,3.28,5,Over 5% higher,2.30 to 4.71,73,7.57,5,Over 5% higher,7.15,5,Over 5% higher,6.21 to 8.97,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,261,University Hospitals of Morecambe Bay NHS Foundation Trust,England,North West,,,North West (Lancashire and South Cumbria),-2.799021453,54.04288873,2704,3,1.11,2,Over 15% lower,2.65,4,Within 5%,2.08 to 3.10,2701,3,1.11,5,Over 5% higher,1.1,5,Over 5% higher,0.61 to 1.87,6,2.22,2,Over 15% lower,3.75,4,Within 5%,3.05 to 4.75,4,"2,000-3,999 births",2.68,1.05,3.73
2022,264,Walsall Healthcare NHS Trust,England,Midlands,,,"Staffordshire, Shropshire and Black Country",-1.997447678,52.58469431,3679,10,2.72,4,Within 5%,2.66,4,Within 5%,2.27 to 3.11,3669,6,1.64,5,Over 5% higher,1.16,5,Over 5% higher,0.69 to 1.97,16,4.35,5,Over 5% higher,3.82,4,Within 5%,3.21 to 4.86,4,"2,000-3,999 births",2.68,1.05,3.73
2022,265,Warrington and Halton Teaching Hospitals NHS Foundation Trust,England,North West,,,North West (Cheshire and Merseyside),-2.610732599,53.3939821,2538,7,2.76,4,Within 5%,2.69,4,Within 5%,2.26 to 3.14,2531,3,1.19,5,Over 5% higher,1.12,5,Over 5% higher,0.63 to 1.92,10,3.94,5,Over 5% higher,3.81,4,Within 5%,3.15 to 4.85,4,"2,000-3,999 births",2.68,1.05,3.73
2022,267,West Hertfordshire Teaching Hospitals NHS Trust,England,East of England,,,East of England,-0.40447202,51.64905069,3960,16,4.04,5,Over 5% higher,2.73,4,Within 5%,2.29 to 3.34,3944,3,0.76,2,Over 15% lower,0.99,3,5 to 15% lower,0.55 to 1.69,19,4.8,5,Over 5% higher,3.72,4,Within 5%,3.17 to 4.73,4,"2,000-3,999 births",2.68,1.05,3.73
2022,271,West Suffolk NHS Foundation Trust,England,East of England,,,East of England,0.70917557,52.23166231,2227,6,-1,0,Suppressed due to small numbers,2.69,4,Within 5%,2.26 to 3.15,2221,-1,-1,0,Suppressed due to small numbers,1.08,4,Within 5%,0.59 to 1.94,8,3.59,4,Within 5%,3.76,4,Within 5%,3.15 to 4.76,4,"2,000-3,999 births",2.68,1.05,3.73
2022,272,Western Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-7.290533264,54.98610497,3372,11,-1,0,Suppressed due to small numbers,2.7,4,Within 5%,2.30 to 3.25,3361,-1,-1,0,Suppressed due to small numbers,0.99,3,5 to 15% lower,0.56 to 1.81,13,3.86,4,Within 5%,3.69,4,Within 5%,3.21 to 4.66,4,"2,000-3,999 births",2.68,1.05,3.73
2022,273,University Hospitals Sussex NHS Foundation Trust,England,South East,,,South East Coast,-0.768026699,50.84356248,8906,28,3.14,2,Over 15% lower,3.83,4,Within 5%,3.28 to 4.39,8878,17,1.91,2,Over 15% lower,2.46,3,5 to 15% lower,1.69 to 3.67,45,5.05,2,Over 15% lower,6.27,4,Within 5%,5.39 to 7.85,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,275,Whittington Health,England,London,,,North Central & East London,-0.138175081,51.56668086,3011,8,-1,0,Suppressed due to small numbers,2.67,4,Within 5%,2.21 to 3.17,3003,-1,-1,0,Suppressed due to small numbers,0.84,2,Over 15% lower,0.47 to 1.54,8,2.66,2,Over 15% lower,3.53,3,5 to 15% lower,2.98 to 4.42,4,"2,000-3,999 births",2.68,1.05,3.73
2022,277,Wirral University Teaching Hospital NHS Foundation Trust,England,North West,,,North West (Cheshire and Merseyside),-3.0954486,53.37084064,2968,4,1.35,2,Over 15% lower,3.55,4,Within 5%,2.87 to 4.18,2964,3,1.01,2,Over 15% lower,1.53,2,Over 15% lower,0.93 to 2.56,7,2.36,2,Over 15% lower,5.04,3,5 to 15% lower,4.23 to 6.49,2,Level 3 NICU,3.61,1.82,5.42
2022,278,Worcestershire Acute Hospitals NHS Trust,England,Midlands,,,Southern West Midlands,-2.181143497,52.19120211,4843,17,3.51,5,Over 5% higher,3.21,4,Within 5%,2.76 to 3.73,4826,5,1.04,4,Within 5%,1.12,4,Within 5%,0.69 to 1.96,22,4.54,5,Over 5% higher,4.32,4,Within 5%,3.74 to 5.46,3,"4,000 or more births",3.18,1.08,4.25
2022,280,"Wrightington, Wigan and Leigh NHS Foundation Trust",England,North West,,,North West (Greater Manchester),-2.629526099,53.55754888,2536,5,1.97,2,Over 15% lower,2.67,4,Within 5%,2.24 to 3.10,2531,4,1.58,5,Over 5% higher,1.15,5,Over 5% higher,0.68 to 2.11,9,3.55,4,Within 5%,3.83,4,Within 5%,3.22 to 5.02,4,"2,000-3,999 births",2.68,1.05,3.73
2022,281,Wye Valley NHS Trust,England,Midlands,,,Southern West Midlands,-2.705532728,52.05694195,1642,3,-1,0,Suppressed due to small numbers,3.22,4,Within 5%,2.24 to 3.67,1639,-1,-1,0,Suppressed due to small numbers,1.06,4,Within 5%,0.47 to 2.09,5,3.05,2,Over 15% lower,4.27,4,Within 5%,3.16 to 5.49,5,"Under 2,000 births",3.23,1.07,4.3
2022,283,York and Scarborough Teaching Hospitals NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.083640069,53.97054712,4192,17,-1,0,Suppressed due to small numbers,3.23,4,Within 5%,2.74 to 3.85,4175,-1,-1,0,Suppressed due to small numbers,0.93,3,5 to 15% lower,0.54 to 1.60,19,4.53,5,Over 5% higher,4.14,4,Within 5%,3.59 to 5.14,3,"4,000 or more births",3.18,1.08,4.25
2022,293,London North West University Healthcare NHS Trust,England,London,,,North West London,-0.322481448,51.57509848,3893,15,3.85,5,Over 5% higher,2.71,4,Within 5%,2.34 to 3.22,3878,3,0.77,2,Over 15% lower,0.94,3,5 to 15% lower,0.55 to 1.57,18,4.62,5,Over 5% higher,3.64,4,Within 5%,3.14 to 4.59,4,"2,000-3,999 births",2.68,1.05,3.73
2022,295,The Portland Hospital for Women and Children,England,,,,,-0.144347512,51.52315622,1341,3,-1,0,Suppressed due to small numbers,3.22,4,Within 5%,2.36 to 3.77,1338,-1,-1,0,Suppressed due to small numbers,0.97,3,5 to 15% lower,0.44 to 1.90,3,2.24,2,Over 15% lower,4.2,4,Within 5%,3.17 to 5.28,5,"Under 2,000 births",3.23,1.07,4.3
2022,296,RAF Lakenheath (48th Medical Group),England,,,,,0.527771499,52.41794655,367,-1,-1,0,Suppressed due to small numbers,3.25,4,Within 5%,2.37 to 3.82,365,-1,-1,0,Suppressed due to small numbers,1.04,4,Within 5%,0.44 to 2.08,-1,-1,0,Suppressed due to small numbers,4.29,4,Within 5%,3.18 to 5.57,5,"Under 2,000 births",3.23,1.07,4.3
2022,297,Manchester University NHS Foundation Trust,England,North West,,,North West (Greater Manchester),-2.224708374,53.46142608,16645,63,3.78,4,Within 5%,3.77,4,Within 5%,3.20 to 4.40,16582,31,1.87,2,Over 15% lower,2.25,2,Over 15% lower,1.55 to 3.27,94,5.65,3,5 to 15% lower,6.05,3,5 to 15% lower,5.35 to 7.33,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
